id	trait	trait.type	method	ancestry_distribution	trait.efo	publication.doi	publication.firstauthor	publication.journal	publication.date	variants	samples	url.weights	url.details	repository	original_build
PRSWEB_PHECODE153_CRC-Huyghe_P_5e-08_UKB_20200608	Colorectal cancer		P_5e-08	EUR=100		10.1016/j.ajhg.2020.08.025	Fritsche LG	Am J Hum Genet	28.09.20	74	63920	https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE153_CRC-Huyghe_P_5e-08_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE153_CRC-Huyghe_P_5e-08_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE153_CRC-Huyghe_PT_UKB_20200608	Colorectal cancer		P&T	EUR=100		10.1016/j.ajhg.2020.08.025	Fritsche LG	Am J Hum Genet	28.09.20	87	63920	https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE153_CRC-Huyghe_PT_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE153_CRC-Huyghe_PT_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE153_GWAS-Catalog-r2019-05-03-X153_P_5e-08_UKB_20200608	Colorectal cancer		P_5e-08	EUR=100		10.1016/j.ajhg.2020.08.025	Fritsche LG	Am J Hum Genet	28.09.20	18	122140	https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE153_GWAS-Catalog-r2019-05-03-X153_P_5e-08_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE153_GWAS-Catalog-r2019-05-03-X153_P_5e-08_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE153_GWAS-Catalog-r2019-05-03-X153_PT_UKB_20200608	Colorectal cancer		P&T	EUR=100		10.1016/j.ajhg.2020.08.025	Fritsche LG	Am J Hum Genet	28.09.20	27	122140	https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE153_GWAS-Catalog-r2019-05-03-X153_PT_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE153_GWAS-Catalog-r2019-05-03-X153_PT_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE157_GWAS-Catalog-r2019-05-03-X157_P_5e-08_UKB_20200608	Pancreatic cancer		P_5e-08	EUR=100		10.1016/j.ajhg.2020.08.025	Fritsche LG	Am J Hum Genet	28.09.20	17	46491	https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE157_GWAS-Catalog-r2019-05-03-X157_P_5e-08_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE157_GWAS-Catalog-r2019-05-03-X157_P_5e-08_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE157_GWAS-Catalog-r2019-05-03-X157_PT_UKB_20200608	Pancreatic cancer		P&T	EUR=100		10.1016/j.ajhg.2020.08.025	Fritsche LG	Am J Hum Genet	28.09.20	10	46491	https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE157_GWAS-Catalog-r2019-05-03-X157_PT_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE157_GWAS-Catalog-r2019-05-03-X157_PT_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE165.1_GWAS-Catalog-r2019-05-03-X165.1_P_5e-08_UKB_20200608	"Lung cancer in ever smokers;Squamous cell lung carcinoma;Lung adenocarcinoma;Lung cancer;Lung cancer in never smokers;Familial squamous cell lung carcinoma;Familial lung adenocarcinoma;Familial lung cancer;Small cell lung carcinoma"		P_5e-08	EUR=100		10.1016/j.ajhg.2020.08.025	Fritsche LG	Am J Hum Genet	28.09.20	21	428696	https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE165.1_GWAS-Catalog-r2019-05-03-X165.1_P_5e-08_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE165.1_GWAS-Catalog-r2019-05-03-X165.1_P_5e-08_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE165.1_GWAS-Catalog-r2019-05-03-X165.1_PT_UKB_20200608	"Lung cancer in ever smokers;Squamous cell lung carcinoma;Lung adenocarcinoma;Lung cancer;Lung cancer in never smokers;Familial squamous cell lung carcinoma;Familial lung adenocarcinoma;Familial lung cancer;Small cell lung carcinoma"		P&T	EUR=100		10.1016/j.ajhg.2020.08.025	Fritsche LG	Am J Hum Genet	28.09.20	19	428696	https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE165.1_GWAS-Catalog-r2019-05-03-X165.1_PT_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE165.1_GWAS-Catalog-r2019-05-03-X165.1_PT_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_P_5e-08_UKB_20200608	"Melanoma;Cutaneous malignant melanoma"		P_5e-08	EUR=100		10.1016/j.ajhg.2020.08.025	Fritsche LG	Am J Hum Genet	28.09.20	18	356564	https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_P_5e-08_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_P_5e-08_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_PT_UKB_20200608	"Melanoma;Cutaneous malignant melanoma"		P&T	EUR=100		10.1016/j.ajhg.2020.08.025	Fritsche LG	Am J Hum Genet	28.09.20	27	356564	https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_PT_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_PT_UKB_20200608	PRSweb	hg19
