id	trait	trait.type	method	ancestry_distribution	trait.efo	publication.doi	publication.firstauthor	publication.journal	publication.date	variants	samples	url.weights	url.details	repository	original_build
ExPRSweb_AgeAtMenarche_ieu-a-1095_LASSOSUM_UKB_20211120	Age at menarche	Quantitative	"LASSOSUM;s = 0.9,l = 0.0034"	EUR=100		10.1016/j.ajhg.2022.09.001	Ying M	Am J Hum Genet	2022-09-23		182416	https://exprsweb.sph.umich.edu:8443/exprs/downloadFile?filename=ExPRSweb_AgeAtMenarche_ieu-a-1095_LASSOSUM_UKB_20211120&type=weight		ExPRSweb	hg19
ExPRSweb_AgeAtMenarche_ieu-a-1095_PT_UKB_20211120	Age at menarche	Quantitative	"PT;P <= 0.025"	EUR=100		10.1016/j.ajhg.2022.09.001	Ying M	Am J Hum Genet	2022-09-23		182416	https://exprsweb.sph.umich.edu:8443/exprs/downloadFile?filename=ExPRSweb_AgeAtMenarche_ieu-a-1095_PT_UKB_20211120&type=weight		ExPRSweb	hg19
ExPRSweb_AgeAtMenarche_ieu-a-1095_PLINK_UKB_20211120	Age at menarche	Quantitative	"PLINK;P <= 0.025"	EUR=100		10.1016/j.ajhg.2022.09.001	Ying M	Am J Hum Genet	2022-09-23		182416	https://exprsweb.sph.umich.edu:8443/exprs/downloadFile?filename=ExPRSweb_AgeAtMenarche_ieu-a-1095_PLINK_UKB_20211120&type=weight		ExPRSweb	hg19
ExPRSweb_AgeAtMenarche_ieu-a-1095_DBSLMM_UKB_20211120	Age at menarche	Quantitative	"DBSLMM;default"	EUR=100		10.1016/j.ajhg.2022.09.001	Ying M	Am J Hum Genet	2022-09-23		182416	https://exprsweb.sph.umich.edu:8443/exprs/downloadFile?filename=ExPRSweb_AgeAtMenarche_ieu-a-1095_DBSLMM_UKB_20211120&type=weight		ExPRSweb	hg19
ExPRSweb_AgeAtMenarche_ieu-a-1095_PRSCS_UKB_20211120	Age at menarche	Quantitative	"PRSCS;auto"	EUR=100		10.1016/j.ajhg.2022.09.001	Ying M	Am J Hum Genet	2022-09-23		182416	https://exprsweb.sph.umich.edu:8443/exprs/downloadFile?filename=ExPRSweb_AgeAtMenarche_ieu-a-1095_PRSCS_UKB_20211120&type=weight		ExPRSweb	hg19
ExPRSweb_AgeAtMenopause_ieu-a-1004_LASSOSUM_UKB_20211120	Age at menopause	Quantitative	"LASSOSUM;s = 0.9,l = 0.0089"	EUR=100		10.1016/j.ajhg.2022.09.001	Ying M	Am J Hum Genet	2022-09-23		69360	https://exprsweb.sph.umich.edu:8443/exprs/downloadFile?filename=ExPRSweb_AgeAtMenopause_ieu-a-1004_LASSOSUM_UKB_20211120&type=weight		ExPRSweb	hg19
ExPRSweb_AgeAtMenopause_ieu-a-1004_PT_UKB_20211120	Age at menopause	Quantitative	"PT;P <= 7.9e-06"	EUR=100		10.1016/j.ajhg.2022.09.001	Ying M	Am J Hum Genet	2022-09-23		69360	https://exprsweb.sph.umich.edu:8443/exprs/downloadFile?filename=ExPRSweb_AgeAtMenopause_ieu-a-1004_PT_UKB_20211120&type=weight		ExPRSweb	hg19
ExPRSweb_AgeAtMenopause_ieu-a-1004_PLINK_UKB_20211120	Age at menopause	Quantitative	"PLINK;P <= 7.9e-06"	EUR=100		10.1016/j.ajhg.2022.09.001	Ying M	Am J Hum Genet	2022-09-23		69360	https://exprsweb.sph.umich.edu:8443/exprs/downloadFile?filename=ExPRSweb_AgeAtMenopause_ieu-a-1004_PLINK_UKB_20211120&type=weight		ExPRSweb	hg19
ExPRSweb_AgeAtMenopause_ieu-a-1004_DBSLMM_UKB_20211120	Age at menopause	Quantitative	"DBSLMM;default"	EUR=100		10.1016/j.ajhg.2022.09.001	Ying M	Am J Hum Genet	2022-09-23		69360	https://exprsweb.sph.umich.edu:8443/exprs/downloadFile?filename=ExPRSweb_AgeAtMenopause_ieu-a-1004_DBSLMM_UKB_20211120&type=weight		ExPRSweb	hg19
ExPRSweb_AgeAtMenopause_ieu-a-1004_PRSCS_UKB_20211120	Age at menopause	Quantitative	"PRSCS;auto"	EUR=100		10.1016/j.ajhg.2022.09.001	Ying M	Am J Hum Genet	2022-09-23		69360	https://exprsweb.sph.umich.edu:8443/exprs/downloadFile?filename=ExPRSweb_AgeAtMenopause_ieu-a-1004_PRSCS_UKB_20211120&type=weight		ExPRSweb	hg19
