id	trait	trait.type	method	ancestry_distribution	trait.efo	publication.doi	publication.firstauthor	publication.journal	publication.date	variants	samples	url.weights	url.details	repository	original_build
PRSWEB_PHECODE153_CRC-Huyghe_P_5e-08_UKB_20200608	Colorectal cancer		P_5e-08			https://www.nature.com/articles/s41588-018-0286-6#Sec35				74		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE153_CRC-Huyghe_P_5e-08_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE153_CRC-Huyghe_P_5e-08_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE153_CRC-Huyghe_PT_UKB_20200608	Colorectal cancer		P&T			https://www.nature.com/articles/s41588-018-0286-6#Sec35				87		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE153_CRC-Huyghe_PT_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE153_CRC-Huyghe_PT_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE153_GWAS-Catalog-r2019-05-03-X153_P_5e-08_UKB_20200608	Colorectal cancer		P_5e-08			https://www.ebi.ac.uk/gwas				18		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE153_GWAS-Catalog-r2019-05-03-X153_P_5e-08_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE153_GWAS-Catalog-r2019-05-03-X153_P_5e-08_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE153_GWAS-Catalog-r2019-05-03-X153_PT_UKB_20200608	Colorectal cancer		P&T			https://www.ebi.ac.uk/gwas				27		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE153_GWAS-Catalog-r2019-05-03-X153_PT_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE153_GWAS-Catalog-r2019-05-03-X153_PT_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE157_GWAS-Catalog-r2019-05-03-X157_P_5e-08_UKB_20200608	Pancreatic cancer		P_5e-08			https://www.ebi.ac.uk/gwas				17		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE157_GWAS-Catalog-r2019-05-03-X157_P_5e-08_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE157_GWAS-Catalog-r2019-05-03-X157_P_5e-08_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE157_GWAS-Catalog-r2019-05-03-X157_PT_UKB_20200608	Pancreatic cancer		P&T			https://www.ebi.ac.uk/gwas				10		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE157_GWAS-Catalog-r2019-05-03-X157_PT_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE157_GWAS-Catalog-r2019-05-03-X157_PT_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE165.1_GWAS-Catalog-r2019-05-03-X165.1_P_5e-08_UKB_20200608	Lung cancer in ever smokers;Squamous cell lung carcinoma;Lung adenocarcinoma;Lung cancer;Lung cancer in never smokers;Familial squamous cell lung carcinoma;Familial lung adenocarcinoma;Familial lung cancer;Small cell lung carcinoma		P_5e-08			https://www.ebi.ac.uk/gwas				21		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE165.1_GWAS-Catalog-r2019-05-03-X165.1_P_5e-08_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE165.1_GWAS-Catalog-r2019-05-03-X165.1_P_5e-08_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE165.1_GWAS-Catalog-r2019-05-03-X165.1_PT_UKB_20200608	Lung cancer in ever smokers;Squamous cell lung carcinoma;Lung adenocarcinoma;Lung cancer;Lung cancer in never smokers;Familial squamous cell lung carcinoma;Familial lung adenocarcinoma;Familial lung cancer;Small cell lung carcinoma		P&T			https://www.ebi.ac.uk/gwas				19		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE165.1_GWAS-Catalog-r2019-05-03-X165.1_PT_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE165.1_GWAS-Catalog-r2019-05-03-X165.1_PT_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_P_5e-08_UKB_20200608	Melanoma;Cutaneous malignant melanoma		P_5e-08			https://www.ebi.ac.uk/gwas				18		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_P_5e-08_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_P_5e-08_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_PT_UKB_20200608	Melanoma;Cutaneous malignant melanoma		P&T			https://www.ebi.ac.uk/gwas				27		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_PT_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE172.1_GWAS-Catalog-r2019-05-03-X172.1_PT_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE172.1_Melanoma-Ransohoff_P_5e-08_UKB_20200608	Melanomas of skin, dx or hx		P_5e-08			https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/28212542/				20		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE172.1_Melanoma-Ransohoff_P_5e-08_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE172.1_Melanoma-Ransohoff_P_5e-08_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE172.1_Melanoma-Ransohoff_PT_UKB_20200608	Melanomas of skin, dx or hx		P&T			https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/28212542/				20		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE172.1_Melanoma-Ransohoff_PT_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE172.1_Melanoma-Ransohoff_PT_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE172.21_BCC-Chahal_P_5e-08_UKB_20200608	Basal cell carcinoma		P_5e-08			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4992160/				28		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE172.21_BCC-Chahal_P_5e-08_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE172.21_BCC-Chahal_P_5e-08_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE172.21_BCC-Chahal_PT_UKB_20200608	Basal cell carcinoma		P&T			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4992160/				28		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE172.21_BCC-Chahal_PT_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE172.21_BCC-Chahal_PT_UKB_20200608	PRSweb	hg19
PRSWEB_PHECODE172.21_GWAS-Catalog-r2019-05-03-X172.21_P_5e-08_UKB_20200608	Basal cell carcinoma		P_5e-08			https://www.ebi.ac.uk/gwas				30		https://prsweb.sph.umich.edu:8443/displayData/downloadFile?filename=PRSWEB_PHECODE172.21_GWAS-Catalog-r2019-05-03-X172.21_P_5e-08_UKB_20200608&type=weight	https://prsweb.sph.umich.edu:8443/displayData/showGraphSep?prswebprefix=PRSWEB_PHECODE172.21_GWAS-Catalog-r2019-05-03-X172.21_P_5e-08_UKB_20200608	PRSweb	hg19
